inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 599 
"," 51 
"," 369 
"," 202 
"," 968 
"," 253 
"," 7727.54 
"," 359961.72 
"," 0.02 
"," 46.58 
"," 19997.87 
"," 1.69 
"
values_505," 491 
"," 51 
"," 294 
"," 162 
"," 785 
"," 213 
"," 6071.75 
"," 280986.96 
"," 0.02 
"," 46.28 
"," 15610.39 
"," 1.43 
"
values_924," 514 
"," 51 
"," 311 
"," 175 
"," 825 
"," 226 
"," 6451.65 
"," 292370.24 
"," 0.02 
"," 45.32 
"," 16242.79 
"," 1.47 
"
values_862," 539 
"," 51 
"," 327 
"," 179 
"," 866 
"," 230 
"," 6794.19 
"," 316499.38 
"," 0.02 
"," 46.58 
"," 17583.30 
"," 1.55 
"
values_287," 610 
"," 51 
"," 373 
"," 196 
"," 983 
"," 247 
"," 7813.24 
"," 379161.63 
"," 0.02 
"," 48.53 
"," 21064.54 
"," 1.75 
"
values_733," 564 
"," 51 
"," 345 
"," 185 
"," 909 
"," 236 
"," 7165.32 
"," 340740.13 
"," 0.02 
"," 47.55 
"," 18930.01 
"," 1.63 
"
values_813," 499 
"," 51 
"," 300 
"," 168 
"," 799 
"," 219 
"," 6212.05 
"," 282870.36 
"," 0.02 
"," 45.54 
"," 15715.02 
"," 1.44 
"
values_11," 478 
"," 51 
"," 290 
"," 161 
"," 768 
"," 212 
"," 5935.04 
"," 272606.47 
"," 0.02 
"," 45.93 
"," 15144.80 
"," 1.40 
"
values_19," 555 
"," 51 
"," 336 
"," 182 
"," 891 
"," 233 
"," 7006.99 
"," 329867.52 
"," 0.02 
"," 47.08 
"," 18325.97 
"," 1.59 
"
values_999," 479 
"," 51 
"," 287 
"," 157 
"," 766 
"," 208 
"," 5898.54 
"," 274958.23 
"," 0.02 
"," 46.61 
"," 15275.46 
"," 1.41 
"
values_134," 498 
"," 51 
"," 299 
"," 168 
"," 797 
"," 219 
"," 6196.51 
"," 281221.75 
"," 0.02 
"," 45.38 
"," 15623.43 
"," 1.43 
"
values_609," 461 
"," 51 
"," 275 
"," 148 
"," 736 
"," 199 
"," 5620.56 
"," 266311.80 
"," 0.02 
"," 47.38 
"," 14795.10 
"," 1.38 
"
values_993," 481 
"," 51 
"," 287 
"," 158 
"," 768 
"," 209 
"," 5919.25 
"," 274177.50 
"," 0.02 
"," 46.32 
"," 15232.08 
"," 1.41 
"
values_731," 479 
"," 51 
"," 286 
"," 155 
"," 765 
"," 206 
"," 5880.17 
"," 276671.62 
"," 0.02 
"," 47.05 
"," 15370.65 
"," 1.42 
"
values_127," 423 
"," 51 
"," 250 
"," 127 
"," 673 
"," 178 
"," 5031.17 
"," 252548.82 
"," 0.02 
"," 50.20 
"," 14030.49 
"," 1.33 
"
values_889," 520 
"," 51 
"," 314 
"," 175 
"," 834 
"," 226 
"," 6522.03 
"," 298410.79 
"," 0.02 
"," 45.75 
"," 16578.38 
"," 1.49 
"
values_987," 483 
"," 51 
"," 288 
"," 158 
"," 771 
"," 209 
"," 5942.37 
"," 276207.56 
"," 0.02 
"," 46.48 
"," 15344.86 
"," 1.41 
"
values_780," 513 
"," 51 
"," 311 
"," 175 
"," 824 
"," 226 
"," 6443.83 
"," 292015.85 
"," 0.02 
"," 45.32 
"," 16223.10 
"," 1.47 
"
values_435," 424 
"," 51 
"," 250 
"," 127 
"," 674 
"," 178 
"," 5038.64 
"," 252924.08 
"," 0.02 
"," 50.20 
"," 14051.34 
"," 1.33 
"
values_950," 546 
"," 51 
"," 334 
"," 189 
"," 880 
"," 240 
"," 6958.06 
"," 313554.65 
"," 0.02 
"," 45.06 
"," 17419.70 
"," 1.54 
"
values_976," 497 
"," 51 
"," 303 
"," 169 
"," 800 
"," 220 
"," 6225.09 
"," 284604.38 
"," 0.02 
"," 45.72 
"," 15811.35 
"," 1.44 
"
values_557," 574 
"," 51 
"," 351 
"," 192 
"," 925 
"," 243 
"," 7330.45 
"," 341725.04 
"," 0.02 
"," 46.62 
"," 18984.72 
"," 1.63 
"
values_398," 586 
"," 51 
"," 359 
"," 190 
"," 945 
"," 241 
"," 7477.68 
"," 360286.45 
"," 0.02 
"," 48.18 
"," 20015.91 
"," 1.69 
"
values_892," 598 
"," 51 
"," 362 
"," 197 
"," 960 
"," 248 
"," 7636.03 
"," 357808.01 
"," 0.02 
"," 46.86 
"," 19878.22 
"," 1.68 
"
values_670," 442 
"," 51 
"," 261 
"," 138 
"," 703 
"," 189 
"," 5316.26 
"," 256393.80 
"," 0.02 
"," 48.23 
"," 14244.10 
"," 1.35 
"
values_574," 580 
"," 51 
"," 348 
"," 193 
"," 928 
"," 244 
"," 7359.72 
"," 338394.78 
"," 0.02 
"," 45.98 
"," 18799.71 
"," 1.62 
"
values_163," 609 
"," 51 
"," 367 
"," 197 
"," 976 
"," 248 
"," 7763.30 
"," 368795.95 
"," 0.02 
"," 47.51 
"," 20488.66 
"," 1.71 
"
values_900," 541 
"," 51 
"," 328 
"," 182 
"," 869 
"," 233 
"," 6833.98 
"," 314062.58 
"," 0.02 
"," 45.96 
"," 17447.92 
"," 1.54 
"
