id,cInstr
values_242,12343
values_505,1687
values_924,3428
values_862,5200
values_287,13293
values_733,8170
values_813,2302
values_11,1361
values_19,5593
values_999,1403
values_134,2504
values_609,635
values_993,1385
values_731,1401
values_127,24
values_889,3332
values_987,1348
values_780,3410
values_435,21
values_950,6123
values_976,2635
values_557,8374
values_398,10007
values_892,9452
values_670,187
values_574,7762
values_163,12144
values_900,5928
values_392,12774
values_447,5216
values_523,4351
values_679,247
values_419,2863
values_895,5880
values_298,1865
values_155,4448
values_12,886
values_160,2066
values_626,2401
values_38,43
values_146,6824
values_81,353
values_687,3179
values_213,8105
values_212,10353
values_568,1958
values_5,1692
values_40,3682
values_970,241
values_707,12623
values_406,11151
values_893,4784
values_144,456
values_979,3069
values_831,783
values_402,6241
values_404,12560
values_310,1721
values_70,93
values_268,7773
values_412,3639
values_290,507
values_916,2883
values_567,10262
values_913,741
values_232,10779
values_319,1902
values_23,604
values_899,1672
values_428,1515
values_858,928
values_546,292
values_432,379
values_231,9282
values_388,3648
values_350,2449
values_603,463
values_364,727
values_530,5081
values_72,601
values_536,12209
values_79,8690
values_342,77
values_803,1950
values_501,369
values_540,1228
values_955,1103
values_191,4915
values_812,11741
values_545,8076
values_78,9257
values_526,8105
values_695,2055
values_87,2966
values_300,10752
values_964,32
values_998,5742
values_988,7442
values_6,1632
values_625,12008
values_518,408
values_122,1911
values_541,4425
values_279,113
values_256,4709
values_796,995
values_504,4341
values_752,599
values_459,6642
values_658,178
values_408,220
values_867,8809
values_727,1947
values_177,11196
values_823,9368
values_822,849
values_218,1325
values_426,2620
values_776,12049
values_143,26
values_739,2656
values_312,5859
values_174,69
values_669,401
values_120,304
values_974,2616
values_217,808
values_866,16
values_192,1576
values_328,11984
values_68,9012
values_387,1698
values_69,5858
values_749,7870
values_135,1670
values_341,5751
values_494,110
values_1,8020
values_589,1480
values_925,3983
values_524,11834
values_994,6749
values_856,6983
values_156,4377
values_470,10207
values_207,254
values_655,243
values_441,1274
values_109,1682
values_45,12891
values_125,2410
values_600,1538
values_708,1201
values_791,6638
values_912,6483
values_533,2865
values_418,9475
values_228,10688
values_585,9530
values_465,277
values_239,400
values_842,35
values_208,947
values_932,1982
values_957,7822
values_563,9516
values_766,11454
values_476,7381
values_175,822
values_591,7969
values_997,12323
values_385,361
values_115,682
values_653,1775
values_753,143
values_241,2478
values_197,5835
