id,clockCycles,assemblyInstr
values_242,9115,6684
values_505,3490,2559
values_924,4765,3494
values_862,5965,4374
values_287,9415,6904
values_733,7315,5364
values_813,3940,2889
values_11,3190,2339
values_19,6640,4869
values_999,2965,2174
values_134,3865,2834
values_609,2065,1514
values_993,2965,2174
values_731,2890,2119
values_127,190,139
values_889,4990,3659
values_987,3040,2229
values_780,4765,3494
values_435,190,139
values_950,6490,4759
values_976,4165,3054
values_557,7765,5694
values_398,8365,6134
values_892,8590,6299
values_670,1015,744
values_574,7540,5529
values_163,8965,6574
values_900,6040,4429
values_392,9415,6904
values_447,5890,4319
values_523,5290,3879
values_679,1240,909
values_419,4615,3384
values_895,6490,4759
values_298,3640,2669
values_155,5215,3824
values_12,2365,1734
values_160,3640,2669
values_626,4165,3054
values_38,340,249
values_146,6790,4979
values_81,1390,1019
values_687,4765,3494
values_213,7465,5474
values_212,8740,6409
values_568,3415,2504
values_5,3340,2449
values_40,5065,3714
values_970,1240,909
values_707,9265,6794
values_406,8740,6409
values_893,5890,4319
values_144,1540,1129
values_979,4915,3604
values_831,2215,1624
values_402,6640,4869
values_404,9040,6629
values_310,3415,2504
values_70,640,469
values_268,7390,5419
values_412,4915,3604
values_290,1765,1294
values_916,4690,3439
values_567,8590,6299
values_913,2215,1624
values_232,8740,6409
values_319,3340,2449
values_23,2140,1569
values_899,3265,2394
values_428,3340,2449
values_858,2590,1899
values_546,1240,909
values_432,1465,1074
values_231,8065,5914
values_388,5140,3769
values_350,4165,3054
values_603,1690,1239
values_364,2140,1569
values_530,5890,4319
values_72,2140,1569
values_536,9040,6629
values_79,7690,5639
values_342,490,359
values_803,3565,2614
values_501,1315,964
values_540,2815,2064
values_955,2515,1844
values_191,6190,4539
values_812,9040,6629
values_545,7840,5749
values_78,7690,5639
values_526,7465,5474
values_695,3790,2779
values_87,4540,3329
values_300,8515,6244
values_964,265,194
values_998,6265,4594
values_988,7240,5309
values_6,3115,2284
values_625,9040,6629
values_518,1540,1129
values_122,3565,2614
values_541,5365,3934
values_279,715,524
values_256,5890,4319
values_796,2515,1844
values_504,5365,3934
values_752,2065,1514
values_459,6715,4924
values_658,1015,744
values_408,1015,744
values_867,7765,5694
values_727,3565,2614
values_177,8515,6244
values_823,8140,5969
values_822,2215,1624
values_218,2965,2174
values_426,4390,3219
values_776,9340,6849
values_143,265,194
values_739,4165,3054
values_312,6490,4759
values_174,415,304
values_669,1390,1019
values_120,1240,909
values_974,4240,3109
values_217,2365,1734
values_866,115,84
values_192,3265,2394
values_328,9265,6794
values_68,7840,5749
values_387,3340,2449
values_69,6340,4649
values_749,7315,5364
values_135,3190,2339
values_341,6265,4594
values_494,715,524
values_1,6865,5034
values_589,3265,2394
values_925,5440,3989
values_524,9490,6959
values_994,7015,5144
values_856,7015,5144
values_156,5815,4264
values_470,8890,6519
values_207,1165,854
values_655,1090,799
values_441,2740,2009
values_109,3415,2504
values_45,9415,6904
values_125,4165,3054
values_600,3415,2504
values_708,2590,1899
values_791,6790,4979
values_912,6940,5089
values_533,4240,3109
values_418,8215,6024
values_228,9040,6629
values_585,7915,5804
values_465,1240,909
values_239,1690,1239
values_842,265,194
values_208,2515,1844
values_932,3865,2834
values_957,7315,5364
values_563,8290,6079
values_766,9190,6739
values_476,6865,5034
values_175,1990,1459
values_591,6865,5034
